name,lat,lon
Binngel,13.4,-13.05
Binnguel,14.63,-14.57
Binnguel,14.07,-14.45
Binnguel Dadhi,15.6,-13.5
Binnkine,12.94,-16.5
Birahim Sèye,15.93,-15.78
Biram Aouagali,15.7,-15.22
Biram Aouagali,15.68,-15.24
Biram Bodel,15.43,-15.92
Biram Fai,14.75,-16.75
Biram Gueye,15.08,-15.9
Birama Kelle,15.21,-15.34
Birane,13.38,-14.8
Birane Gaye,15.94,-16.28
Birataba,13.4,-13.47
Birfal,14.51,-12.45
Birkama,12.56,-15.84
Birkamanding,13.02,-16.45
Birkelane,14.13,-15.75
Bisari Dioub,13,-15.93
Bissakal,12.53,-15.48
Bissao,14.83,-17.09
Bissar,12.66,-15.48
Bissari,13.05,-15.58
Bissari,12.9,-15.8
Bissari Diosson,12.96,-15.77
Bissari Missira,12.75,-15.61
Bissarou,12.58,-15.43
Bissassou Douma,12.57,-15.42
Bisset I,16.2,-16.32
Bisset II,16.22,-16.31
Bissine,12.53,-15.96
Bississe Dia,15.43,-16.32
Bitaene Keur Abdou Diakate,13.92,-16.12
Bitayen,13.75,-15.95
Bitiou,15.32,-16.47
Bito,16.3,-14
Blaz,12.5,-15.97
Bloug,15.43,-13.02
Boal,12.67,-16.27
Boba,14.83,-16.35
Boba,13.98,-14.48
Boba,13.67,-13.85
Bobi,14.75,-14.82
Bobi,14.73,-15.8
Bobodigoula,15.17,-15.48
Bobori,16.27,-14.45
Bobori,15.3,-15.9
Boboti,12.66,-11.44
Bochine,14.74,-17.06
Bochineka,13.73,-16.57
Bod,14.78,-17.21
Bodade,15.08,-15.94
Bode Dieng,14.95,-15.93
Bode Mamadou Dieng,14.98,-15.9
Bodegne,15.53,-16.38
Bodegne,15.48,-16.57
Bodei,15.54,-15.78
Bodeiel,12.82,-14.85
Bodia,12.95,-16.27
Bodibato,14.09,-12.05
Bodien,14.25,-16.87
Bododji,15.15,-12.85
Bodèdji,14.62,-14.55
Bodé,16.44,-14.35
Bodé,14.32,-15.38
Bodé,13.97,-12.85
Bodé,12.65,-16.43
Bodé,14.03,-12.94
Bofa,12.49,-16.13
Bofaye,14.65,-16.63
Bofe,14.8,-15.93
Bofel,15.57,-15.98
Bofeto,12.54,-11.45
Bofi,13.98,-15.45
Bofoulou,13.48,-13.35
Bogal,15.95,-16.12
Bogal Diaouli,14.19,-12.57
Bogalar,14.3,-16.23
Bogguel,16.01,-13.84
Bogol,15.65,-15.67
Bogorheme,14.83,-16.67
Bogue Gaye,15.48,-15.41
Boguel,14.43,-15.15
Boguel,12.81,-15.09
Boguelbar,15.43,-15.83
Boguene Goli,15.82,-15.78
Boguessa Boudou,15.4,-15.74
Bohene,14.83,-16.22
Bohodi-Gobel,15.87,-15.57
Bohof,14.48,-16.23
Bohou,15.49,-13.1
Bohé Balédié,14.28,-13.6
Boibérol,15.8,-15.43
Boinadji Sinthiou,15.65,-13.35
Boingal,14.13,-14.37
Boinguel,14.05,-14.27
Boissedou,13.12,-15.95
Boiti,16.02,-16.3
Boiti,15.57,-16.3
Bokar Diakanké,12.38,-12.57
Boke,14.32,-13.25
Boke Namadi,16.03,-14.2
Bokeladji,15.06,-12.75
Bokhol,16.52,-15.4
Boki,16.51,-14.26
Boki Baga Pui,14.48,-15.63
Boki Bagou,15.82,-13.88
Boki Diave,15.88,-13.5
Boki Dior,14.35,-14.7
Boki Divé,15.95,-15.49
Boki Kekki,15.9,-14.56
Boki Lotchi,14.62,-15.67
Boki Maboube,14.26,-13
Boki Mbonon,14.68,-14.65
Boki Nani,15.34,-13.24
Boki Pete Bove,15.39,-13.35
Boki Saboudo,15.77,-13.42
Boki Saboundou,14.62,-12.88
Boki Sada,14.52,-14.53
Boki Tiedo,15.7,-15.8
Boki Toudoune,15.88,-14.58
Bokidou lki,14.32,-12.66
Bokiguile,14.55,-12.95
Bokinédo,16.01,-15.74
Bokié Sintiân,12.8,-15.07
Bokke Dialloube,16.06,-14
Bokke Mbaibe,16.05,-14
Bokké Fâfâbé,16.05,-13.97
Boko,13.47,-12.96
Boko,12.78,-16.76
Bokobof,14.38,-16.7
Bokodi,13.24,-11.74
Bokolako,13.61,-12.54
Bokondine,14.9,-16.42
Boktol,14.75,-17.06
Boleyel,15.88,-13.48
Boli,14.08,-16.32
Boliboguel,14.98,-15.65
Boliegue Ardo,15.28,-15.18
Bolo,14.73,-15.93
Bolonas,14.08,-16.57
Boltogne,15.4,-16.35
Bolèl Gari,14.95,-15.87
Bolôr,14.7,-17.18
Bombouda,12.64,-15.92
Bona,12.96,-15.84
Bonboye,14.67,-16.62
Bonconto,13.03,-13.93
Bondala,13.28,-11.66
Bondali,12.56,-15.75
Bondie,14.42,-15.58
Bondié Peul,14.43,-15.58
